Localização;Setor;Mês e ano procedimento 
Livros Raros  CII, 005,008 n. 2;Obras Raras;03 2022
Livros Raros  CII, 005,008 n. 1;Obras Raras;03 2022
Livros Raros  CII, 002,022;Obras Raras;03 2022
Livros Raros  CII, 001,007;Obras Raras;03 2022
Livros Raros  CII, 001,003;Obras Raras;03 2022
Livros Raros Z002,003,012 n. 001;Obras Raras;03 2022
Livros Raros Z002,003,012 n. 002;Obras Raras;03 2022
Z001,002,004;Obras Raras;03 2022
Z001,003,010;Obras Raras;03 2022
Z001,003,016;Obras Raras;03 2022
Z001,003BIS,002;Obras Raras;03 2022
Livros Raros  Z001,001,010;Obras Raras;03 2022
Z001,002,013;Obras Raras;04 2022
Z001,001,012;Obras Raras;04 2022
Z002,001,005;Obras Raras;04 2022
Z002,001,014;Obras Raras;04 2022
Z002,002,015F;Obras Raras;04 2022
Z002,002,008;Obras Raras;abr/22
Z002,002,005;Obras Raras;04 2022
Z001,002,007;Obras Raras;04 2022
Z002,002,011;Obras Raras;04 2022
Z001,002,005;Obras Raras;04 2022
Z001,001,001;Obras Raras;04 2022
Z001,004,005;Obras Raras;04 2022
Z002,002,007;Obras Raras;04 2022
Z002,002,012;Obras Raras;04 2022
Z002,004,012;Obras Raras;04 2022
Z002,001,006;Obras Raras;04 2022
Z002,002,019;Obras Raras;04 2022
Z001,001,011;Obras Raras;04 2022
Z001,003,018;Obras Raras;04 2022
Z002,003BIS,001;Obras Raras;04 2022
Z002,001,016;Obras Raras;06 2022
Z001,004,011;Obras Raras;06 2022
Z002,002,013;Obras Raras;06 2022
Z002,002,002;Obras Raras;06 2022
Z001,004,008;Obras Raras;06 2022
Z001,004BIS,003;Obras Raras;06 2022
Z001,002,002;Obras Raras;06 2022
Z002,004,019;Obras Raras;06 2022
Z002,003,016;Obras Raras;06 2022
Z001,002,014;Obras Raras;06 2022
Z002,004,003;Obras Raras;06 2022
Z001,003,009;Obras Raras;06 2022
Z001,004BIS,010;Obras Raras;06 2022
Z002,002BIS,003;Obras Raras;06 2022
Z002,002BIS,003;Obras Raras;06 2022
Z002,003BIS,015 ex.1;Obras Raras;06 2022
Z002,003,008;Obras Raras;06 2022
Z002,003,009;Obras Raras;06 2022
Z001,002,001;Obras Raras;07 2022
